type,question,subject,topic,difficulty,option1,option2,option3,option4,answer,marks
MCQ,"Choose the correct indirect speech: He said, ""I am busy.""",Verbal Ability,Change of Speech,Easy,He said that he is busy,He said that he was busy,He says that he was busy,He told that he is busy,He said that he was busy,1
MCQ,"Choose the correct indirect speech: She said, ""I have completed my work.""",Verbal Ability,Change of Speech,Easy,She said that she has completed her work,She said that she had completed her work,She said that she completed my work,She said that she had complete her work,She said that she had completed her work,1
MCQ,"Choose the correct indirect speech: Rahul said, ""I will go to Chennai tomorrow.""",Verbal Ability,Change of Speech,Medium,Rahul said that he will go to Chennai the next day,Rahul said that he would go to Chennai the next day,Rahul said that I would go to Chennai tomorrow,Rahul said that he would go to Chennai tomorrow,Rahul said that he would go to Chennai the next day,1
MCQ,"Choose the correct indirect speech: The teacher said to the students, ""Work hard.""",Verbal Ability,Change of Speech,Easy,The teacher told the students to work hard,The teacher said the students work hard,The teacher told to the students work hard,The teacher asked the students that work hard,The teacher told the students to work hard,1
MCQ,"Choose the correct indirect speech: He said, ""Do you like coffee?""",Verbal Ability,Change of Speech,Medium,He asked if I liked coffee,He said if I like coffee,He asked that I liked coffee,He told if I liked coffee,He asked if I liked coffee,1
MCQ,"Choose the correct indirect speech: Mother said to me, ""Do not waste time.""",Verbal Ability,Change of Speech,Medium,Mother advised me do not waste time,Mother advised me not to waste time,Mother said me not waste time,Mother told me do not waste time,Mother advised me not to waste time,1
MCQ,"Choose the correct indirect speech: He said, ""Alas! I am ruined.""",Verbal Ability,Change of Speech,Hard,He exclaimed with sorrow that he was ruined,He said with sorrow that I am ruined,He exclaimed that he is ruined,He told sorrowfully that he had ruined,He exclaimed with sorrow that he was ruined,1
MCQ,"Choose the correct indirect speech: She said to him, ""Please help me.""",Verbal Ability,Change of Speech,Medium,She requested him to help her,She requested him help me,She said him to please help her,She requested that he helps her,She requested him to help her,1
MCQ,"Choose the correct indirect speech: The officer said, ""Where do you live?""",Verbal Ability,Change of Speech,Medium,The officer asked where did I live,The officer asked where I lived,The officer said where I lived,The officer asked where do I live,The officer asked where I lived,1
MCQ,"Choose the correct indirect speech: He said, ""May you succeed!""",Verbal Ability,Change of Speech,Hard,He wished that I might succeed,He said that may I succeed,He wished that I may succeed,He prayed that I succeeded,He wished that I might succeed,1
